id,Discriminated_Group
1000205,Chinese
1000315,Chinese
1000187,Chinese
1000171,Chinese
1000217,Chinese
1000237,Chinese
1000121,Chinese
1000285,Chinese
1000233,Asian
1000261,Chinese
1000261,Asian
1000261,Italians
1000104,Chinese
1000147,Have not seen any one yet.
1000174,Chinese
1000225,Chinese
1000119,Chinese
1000128,Chinese
1000128,Asian
1000185,Chinese
1000185,Italians
1000122,Chinese
1000167,Chinese
1000167,Asian
1000167,Italians
1000117,Africans
1000111,Chinese
1000111,Asian
1000131,Chinese
1000226,Chinese
1000226,Italians
1000226,Americans
1000289,Asian
1000204,Chinese
1000204,Those infected 
1000190,Italians
1000214,Chinese
1000199,Chinese
1000199,Asian
1000199,Italians
1000155,Chinese
1000177,Chinese
1000206,Chinese
1000318,Those who were infected and are ok now
1000271,Chinese
1000295,Chinese
1000295,Italians
1000158,Chinese
1000246,Chinese
1000196,Chinese
1000196,Asian
1000196,Italians
1000189,Chinese
1000203,Chinese
1000203,Italians
1000114,Chinese
1000219,Chinese
1000219,Italians
1000302,Chinese
1000260,Chinese
1000260,Asian
1000260,Italians
1000239,Chinese
1000239,Asian
1000239,Italians
1000198,Chinese
1000162,Chinese
1000136,Chinese
1000210,Chinese
1000139,Chinese
1000139,Italians
1000133,Chinese
1000133,Asian
1000243,Chinese
1000169,Chinese
1000182,Chinese
1000170,Chinese
1000101,Chinese
1000101,Asian
1000101,Italians
1000101,Caucasian 
1000134,Chinese
1000134,Asian
1000134,Italians
1000221,Chinese
1000221,Italians
1000252,Chinese
1000274,Those who have been infected.
1000144,Chinese
1000220,Chinese
1000192,Italians
1000215,The family of an infected person
1000157,Asian
1000140,Chinese
1000211,Chinese
1000211,Italians
1000197,Chinese
1000313,Chinese
1000313,Italians
1000266,Chinese
1000108,Chinese
1000164,Chinese
1000103,Chinese
1000256,Chinese
1000256,Asian
1000256,Italians
1000264,Chinese
1000193,Chinese
1000283,Chinese
1000159,Chinese
1000126,Chinese
1000254,Chinese
1000152,Chinese
1000238,Chinese
1000277,Chinese
1000106,Chinese
1000130,Fear is making some members of households to avoid touching each other 
1000224,Chinese
1000224,Italians
1000143,Italians
1000161,Families of a person affected with corona virus 
1000201,Chinese
1000300,Chinese
1000300,Asian
1000300,Italians
1000317,Chinese
1000317,Asian
1000317,Italians
1000317,And any other  person known to be infected with the covid
1000314,Chinese
1000314,Italians
1000235,Chinese
1000235,Italians
1000304,Chinese
1000292,Coronavirus survivals in Ghana
1000163,Chinese
1000307,Chinese
1000153,Chinese
1000153,People(Ghanaians)  working with the Chinese 
1000132,The very recovered person
1000180,Chinese
1000180,Asian
1000180,Italians
1000151,Chinese
1000165,Chinese
1000154,Chinese
1000269,Chinese
1000175,Chinese
1000175,Italians
1000188,None of the  above
1000109,Chinese
1000229,Chinese
1000150,Chinese
1000150,Asian
1000150,Italians
1000319,Chinese
1000319,Italians
1000124,Chinese
1000160,Chinese
1000184,Chinese
1000184,Italians
1000172,Chinese
1000172,Italians
1000240,Italians
1000112,Chinese
1000112,Italians
1000263,Chinese
1000263,Italians
1000322,Chinese
1000138,Chinese
1000310,Chinese
1000257,Chinese
1000257,Italians
1000213,Chinese
1000213,Italians
1000218,Chinese
1000305,Chinese
1000118,Don't know
1000200,Ghanaian person in my community
1000248,Asian
1000280,Chinese
1000234,Chinese
1000234,Italians
1000282,Chinese
1000228,Chinese
1000242,Those who have been healed from the disease 
1000312,Chinese
1000312,Italians
1000281,Chinese
1000281,Italians
1000209,Chinese
1000209,Those who have been cured of the disease
1000276,Chinese
1000232,Chinese
1000232,Italians
1000245,Dont know
1000125,Chinese
1000125,Asian
1000286,Chinese
1000255,Chinese
1000272,Chinese
1000272,Asian
1000272,Italians
1000272,Those who recovered from the coronavirus
1000249,Chinese
1000258,Those from abroad apart from these countries
1000294,Chinese
1000294,Asian
1000216,Chinese
1000216,All travellers
1000156,Chinese
1000102,Chinese
1000102,Asian
1000166,Chinese
1000166,Italians
1000207,Chinese
1000207,Asian
1000207,Italians
1000309,Chinese
1000202,Chinese
1000100,Chinese
1000100,Asian
1000241,Chinese
1000241,Italians
1000303,Chinese
1000288,Chinese
1000291,Chinese
1000183,Chinese
1000183,Italians
1000316,Chinese
1000284,Chinese
1000186,Chinese
1000129,Chinese
1000191,Chinese
1000191,Italians
1000251,Chinese
1000179,Chinese
1000179,Italians
1000178,Chinese
1000178,Asian
1000178,Italians
1000321,Chinese
1000321,Italians
1000115,Chinese
1000259,Those from abroad apart from these countries
1000279,Infected but recoverd victims 
1000149,Chinese
1000149,Asian
1000149,Italians
1000208,Chinese
1000142,Chinese
1000142,"Those that been tested positive to the virus, Recovered from it."
1000222,Chinese
1000222,Italians
1000308,Chinese
1000146,Chinese
1000298,People who have recovered from the disease
1000236,Chinese
1000236,Italians
1000297,Chinese
1000296,Chinese
1000250,Chinese
1000250,Asian
1000250,Italians
1000145,Chinese
1000273,Chinese
1000127,Chinese
1000247,Chinese
1000247,Italians
1000227,Chinese
1000227,Asian
1000227,Italians
1000265,Chinese
1000311,Chinese
