id,Info_Desired
1000205,How to protect yourself from the disease?
1000176,How to treat it
1000301,How to protect yourself from the disease?
1000301,Symptoms of the new coronavirus disease
1000301,How it is transmitted
1000301,What to do if you have the symptoms
1000301,Most at risk groups
1000301,How to treat it
1000315,How to protect yourself from the disease?
1000315,Symptoms of the new coronavirus disease
1000315,How it is transmitted
1000315,What to do if you have the symptoms
1000187,How it is transmitted
1000171,How to protect yourself from the disease?
1000171,How it is transmitted
1000171,What to do if you have the symptoms
1000171,How to treat it
1000212,How to protect yourself from the disease?
1000212,Symptoms of the new coronavirus disease
1000212,How it is transmitted
1000212,What to do if you have the symptoms
1000212,How to treat it
1000217,Most at risk groups
1000217,How to treat it
1000237,How it is transmitted
1000237,What to do if you have the symptoms
1000237,How to treat it
1000121,Most at risk groups
1000121,How to treat it
1000285,Most at risk groups
1000285,How to treat it
1000233,How to protect yourself from the disease?
1000233,Symptoms of the new coronavirus disease
1000233,How it is transmitted
1000233,What to do if you have the symptoms
1000233,Most at risk groups
1000233,How to treat it
1000261,How to protect yourself from the disease?
1000261,How it is transmitted
1000261,What to do if you have the symptoms
1000261,Most at risk groups
1000261,How to treat it
1000104,How to treat it
1000147,Is there any cure or disease found
1000174,How to protect yourself from the disease?
1000174,Symptoms of the new coronavirus disease
1000174,How it is transmitted
1000225,How to treat it
1000275,How to treat it
1000119,How to protect yourself from the disease?
1000119,Symptoms of the new coronavirus disease
1000119,How it is transmitted
1000119,Most at risk groups
1000119,How to treat it
1000128,How to protect yourself from the disease?
1000128,Symptoms of the new coronavirus disease
1000128,How it is transmitted
1000128,What to do if you have the symptoms
1000128,Most at risk groups
1000128,How to treat it
1000141,How to protect yourself from the disease?
1000141,Symptoms of the new coronavirus disease
1000141,How it is transmitted
1000141,What to do if you have the symptoms
1000141,Most at risk groups
1000141,How to treat it
1000185,How to protect yourself from the disease?
1000185,How it is transmitted
1000185,What to do if you have the symptoms
1000122,How to protect yourself from the disease?
1000122,Symptoms of the new coronavirus disease
1000122,How it is transmitted
1000122,What to do if you have the symptoms
1000122,Most at risk groups
1000122,How to treat it
1000167,How to protect yourself from the disease?
1000167,Symptoms of the new coronavirus disease
1000167,How it is transmitted
1000167,What to do if you have the symptoms
1000117,Most at risk groups
1000111,How to treat it
1000290,Most at risk groups
1000131,Symptoms of the new coronavirus disease
1000131,What to do if you have the symptoms
1000226,Most at risk groups
1000226,How to treat it
1000289,How to protect yourself from the disease?
1000289,Symptoms of the new coronavirus disease
1000289,How it is transmitted
1000204,How to protect yourself from the disease?
1000204,Symptoms of the new coronavirus disease
1000204,How it is transmitted
1000204,What to do if you have the symptoms
1000204,Most at risk groups
1000204,How to treat it
1000190,How to protect yourself from the disease?
1000190,Symptoms of the new coronavirus disease
1000190,How it is transmitted
1000190,What to do if you have the symptoms
1000190,Most at risk groups
1000190,How to treat it
1000214,How to protect yourself from the disease?
1000199,How to protect yourself from the disease?
1000199,Symptoms of the new coronavirus disease
1000199,How it is transmitted
1000199,What to do if you have the symptoms
1000199,Most at risk groups
1000199,How to treat it
1000155,How to treat it
1000135,Most at risk groups
1000177,How to protect yourself from the disease?
1000177,Symptoms of the new coronavirus disease
1000177,How it is transmitted
1000177,What to do if you have the symptoms
1000177,Most at risk groups
1000116,How to protect yourself from the disease?
1000116,Symptoms of the new coronavirus disease
1000116,How it is transmitted
1000116,What to do if you have the symptoms
