id,Info_Received
1000205,How to protect yourself from the disease?
1000205,Symptoms of the new coronavirus disease
1000205,How it is transmitted
1000205,What to do if you have the symptoms
1000205,Risks and complications
1000176,How to protect yourself from the disease?
1000176,Symptoms of the new coronavirus disease
1000176,How it is transmitted
1000176,What to do if you have the symptoms
1000176,Risks and complications
1000301,How to protect yourself from the disease?
1000301,Symptoms of the new coronavirus disease
1000301,How it is transmitted
1000301,What to do if you have the symptoms
1000301,Risks and complications
1000315,How to protect yourself from the disease?
1000315,What to do if you have the symptoms
1000187,How to protect yourself from the disease?
1000187,Symptoms of the new coronavirus disease
1000187,How it is transmitted
1000187,What to do if you have the symptoms
1000171,How to protect yourself from the disease?
1000171,Symptoms of the new coronavirus disease
1000171,How it is transmitted
1000171,What to do if you have the symptoms
1000171,Risks and complications
1000212,How to protect yourself from the disease?
1000212,Symptoms of the new coronavirus disease
1000212,How it is transmitted
1000212,What to do if you have the symptoms
1000217,How to protect yourself from the disease?
1000217,Symptoms of the new coronavirus disease
1000217,How it is transmitted
1000217,What to do if you have the symptoms
1000217,Risks and complications
1000237,How to protect yourself from the disease?
1000237,Symptoms of the new coronavirus disease
1000237,How it is transmitted
1000237,What to do if you have the symptoms
1000237,Risks and complications
1000121,How to protect yourself from the disease?
1000121,Symptoms of the new coronavirus disease
1000121,How it is transmitted
1000121,What to do if you have the symptoms
1000121,Risks and complications
1000285,How to protect yourself from the disease?
1000285,Symptoms of the new coronavirus disease
1000285,How it is transmitted
1000285,What to do if you have the symptoms
1000285,Risks and complications
1000233,How to protect yourself from the disease?
1000233,Symptoms of the new coronavirus disease
1000233,How it is transmitted
1000233,What to do if you have the symptoms
1000233,Risks and complications
1000261,How to protect yourself from the disease?
1000261,Symptoms of the new coronavirus disease
1000261,How it is transmitted
1000261,What to do if you have the symptoms
1000104,How to protect yourself from the disease?
1000104,Symptoms of the new coronavirus disease
1000104,How it is transmitted
1000104,What to do if you have the symptoms
1000104,Risks and complications
1000147,How to protect yourself from the disease?
1000147,Symptoms of the new coronavirus disease
1000147,How it is transmitted
1000147,What to do if you have the symptoms
1000147,Risks and complications
1000174,How to protect yourself from the disease?
1000174,Symptoms of the new coronavirus disease
1000174,How it is transmitted
1000174,What to do if you have the symptoms
1000174,Risks and complications
1000225,How to protect yourself from the disease?
1000225,Symptoms of the new coronavirus disease
1000225,What to do if you have the symptoms
1000275,How to protect yourself from the disease?
1000275,Symptoms of the new coronavirus disease
1000275,How it is transmitted
1000275,What to do if you have the symptoms
1000275,Risks and complications
1000119,How to protect yourself from the disease?
1000119,Symptoms of the new coronavirus disease
1000119,How it is transmitted
1000119,What to do if you have the symptoms
1000119,Risks and complications
1000128,How to protect yourself from the disease?
1000128,Symptoms of the new coronavirus disease
1000128,How it is transmitted
1000128,What to do if you have the symptoms
1000128,Risks and complications
1000141,How to protect yourself from the disease?
1000141,Symptoms of the new coronavirus disease
1000141,How it is transmitted
1000141,What to do if you have the symptoms
1000141,Risks and complications
1000185,How to protect yourself from the disease?
1000185,Symptoms of the new coronavirus disease
1000185,How it is transmitted
1000185,What to do if you have the symptoms
1000185,Risks and complications
1000122,How to protect yourself from the disease?
1000122,Symptoms of the new coronavirus disease
1000122,How it is transmitted
1000122,What to do if you have the symptoms
1000122,Risks and complications
1000167,How to protect yourself from the disease?
1000167,Symptoms of the new coronavirus disease
1000167,How it is transmitted
1000167,What to do if you have the symptoms
1000167,Risks and complications
1000117,How to protect yourself from the disease?
1000117,Symptoms of the new coronavirus disease
1000117,How it is transmitted
1000117,What to do if you have the symptoms
1000117,Risks and complications
1000111,How to protect yourself from the disease?
1000111,Symptoms of the new coronavirus disease
1000111,How it is transmitted
1000111,What to do if you have the symptoms
1000111,Risks and complications
1000290,How to protect yourself from the disease?
1000290,Symptoms of the new coronavirus disease
1000290,How it is transmitted
1000290,What to do if you have the symptoms
1000290,Risks and complications
1000131,How to protect yourself from the disease?
1000131,Symptoms of the new coronavirus disease
1000131,How it is transmitted
1000131,What to do if you have the symptoms
1000131,Risks and complications
1000226,How to protect yourself from the disease?
1000226,Symptoms of the new coronavirus disease
1000226,How it is transmitted
1000226,What to do if you have the symptoms
1000226,Risks and complications
1000289,How to protect yourself from the disease?
1000289,How it is transmitted
1000204,How to protect yourself from the disease?
1000204,Symptoms of the new coronavirus disease
1000204,How it is transmitted
