id,Info_Source
1000205,Radio
1000205,TV
1000205,WhatsApp
1000205,Social Media (not WhatsApp)
1000205,Health unit/Health care worker
1000205,Family members
1000205,Friends
1000205,Community health workers
1000205,Red Cross Red Crescent volunteers
1000205,Other community mobilisers
1000205,Community leaders
1000205,Religious leaders
1000205,Traditional healers
1000205,Traditional midwives
1000205,Any person from the community
1000176,Radio
1000176,TV
1000176,WhatsApp
1000176,Social Media (not WhatsApp)
1000176,Health unit/Health care worker
1000176,Family members
1000176,Friends
1000176,Religious leaders
1000301,Radio
1000301,TV
1000301,WhatsApp
1000301,Health unit/Health care worker
1000301,Family members
1000301,Friends
1000301,Community health workers
1000301,Religious leaders
1000301,Any person from the community
1000315,Radio
1000315,TV
1000187,Radio
1000187,TV
1000187,WhatsApp
1000187,Social Media (not WhatsApp)
1000187,Family members
1000187,Friends
1000187,Community leaders
1000187,Religious leaders
1000187,Any person from the community
1000171,Radio
1000171,TV
1000171,Social Media (not WhatsApp)
1000171,Family members
1000171,Friends
1000171,Community health workers
1000171,Other community mobilisers
1000171,Community leaders
1000171,Any person from the community
1000212,Radio
1000212,TV
1000212,WhatsApp
1000212,Social Media (not WhatsApp)
1000212,Health unit/Health care worker
1000212,Family members
1000212,Friends
1000212,Religious leaders
1000212,Any person from the community
1000217,Radio
1000217,TV
1000217,WhatsApp
1000217,Social Media (not WhatsApp)
1000217,Friends
1000217,Community leaders
1000237,Radio
1000237,TV
1000237,Social Media (not WhatsApp)
1000237,Family members
1000121,Radio
1000121,TV
1000121,WhatsApp
1000121,Social Media (not WhatsApp)
1000121,Family members
1000121,Friends
1000121,Religious leaders
1000285,Radio
1000285,TV
1000285,WhatsApp
1000285,Social Media (not WhatsApp)
1000285,Family members
1000285,Friends
1000285,Community health workers
1000233,Radio
1000233,TV
1000233,WhatsApp
1000233,Social Media (not WhatsApp)
1000233,Health unit/Health care worker
1000233,Family members
1000233,Friends
1000233,Community health workers
1000233,Religious leaders
1000233,Any person from the community
1000261,Radio
1000261,TV
1000261,WhatsApp
1000261,Social Media (not WhatsApp)
1000261,Health unit/Health care worker
1000261,Family members
1000261,Friends
1000104,Radio
1000104,WhatsApp
1000104,Social Media (not WhatsApp)
1000104,Friends
1000104,Religious leaders
1000104,Any person from the community
1000147,Radio
1000147,TV
1000147,WhatsApp
1000147,Social Media (not WhatsApp)
1000147,Health unit/Health care worker
1000147,Family members
1000147,Friends
1000147,Community health workers
1000147,Red Cross Red Crescent volunteers
1000147,Community leaders
1000147,Religious leaders
1000147,Traditional midwives
1000147,The president 
1000174,Radio
1000174,TV
1000174,Health unit/Health care worker
1000225,Radio
1000225,TV
1000225,WhatsApp
1000225,Social Media (not WhatsApp)
1000225,Family members
1000225,Friends
1000275,Radio
1000275,TV
1000275,WhatsApp
1000275,Social Media (not WhatsApp)
1000275,Health unit/Health care worker
1000275,Family members
1000275,Friends
1000275,Community health workers
1000275,Other community mobilisers
1000275,Community leaders
1000275,Religious leaders
1000275,Any person from the community
1000119,Radio
1000119,TV
1000119,WhatsApp
1000119,Social Media (not WhatsApp)
1000128,Radio
1000128,TV
1000128,WhatsApp
1000128,Social Media (not WhatsApp)
