id,Prevention_Knowledge
1000205,Wash your hands regularly using alcohol or soap and water
1000205,Cover your mouth and nose when coughing or sneezing
1000205,Avoid close contact with anyone who has a fever and cough
1000205,Eliminate standing water
1000205,Cook meat and eggs well
1000205,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000205,Don't know
1000176,Wash your hands regularly using alcohol or soap and water
1000176,Cover your mouth and nose when coughing or sneezing
1000176,Avoid close contact with anyone who has a fever and cough
1000301,Wash your hands regularly using alcohol or soap and water
1000301,Drink only treated water
1000301,Cover your mouth and nose when coughing or sneezing
1000301,Avoid close contact with anyone who has a fever and cough
1000301,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000301,Wear nose mask
1000315,Wash your hands regularly using alcohol or soap and water
1000315,Cover your mouth and nose when coughing or sneezing
1000187,Wash your hands regularly using alcohol or soap and water
1000187,Cover your mouth and nose when coughing or sneezing
1000187,Avoid close contact with anyone who has a fever and cough
1000171,Wash your hands regularly using alcohol or soap and water
1000171,Cover your mouth and nose when coughing or sneezing
1000171,Avoid close contact with anyone who has a fever and cough
1000212,Wash your hands regularly using alcohol or soap and water
1000212,Cover your mouth and nose when coughing or sneezing
1000212,Avoid close contact with anyone who has a fever and cough
1000212,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000217,Wash your hands regularly using alcohol or soap and water
1000217,Cover your mouth and nose when coughing or sneezing
1000217,Avoid close contact with anyone who has a fever and cough
1000217,Cook meat and eggs well
1000217,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000237,Wash your hands regularly using alcohol or soap and water
1000237,Cover your mouth and nose when coughing or sneezing
1000237,Avoid close contact with anyone who has a fever and cough
1000237,Cook meat and eggs well
1000121,Wash your hands regularly using alcohol or soap and water
1000121,Cover your mouth and nose when coughing or sneezing
1000121,Avoid close contact with anyone who has a fever and cough
1000121,Cook meat and eggs well
1000121,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000285,Wash your hands regularly using alcohol or soap and water
1000285,Cover your mouth and nose when coughing or sneezing
1000285,Avoid close contact with anyone who has a fever and cough
1000233,Wash your hands regularly using alcohol or soap and water
1000233,Cover your mouth and nose when coughing or sneezing
1000233,Avoid close contact with anyone who has a fever and cough
1000233,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000261,Wash your hands regularly using alcohol or soap and water
1000261,Cover your mouth and nose when coughing or sneezing
1000261,Avoid close contact with anyone who has a fever and cough
1000104,Wash your hands regularly using alcohol or soap and water
1000104,Cover your mouth and nose when coughing or sneezing
1000104,Avoid close contact with anyone who has a fever and cough
1000104,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000147,Wash your hands regularly using alcohol or soap and water
1000147,Cover your mouth and nose when coughing or sneezing
1000147,Avoid close contact with anyone who has a fever and cough
1000147,Cook meat and eggs well
1000147,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000174,Wash your hands regularly using alcohol or soap and water
1000174,Cover your mouth and nose when coughing or sneezing
1000174,Avoid close contact with anyone who has a fever and cough
1000225,Wash your hands regularly using alcohol or soap and water
1000225,Drink only treated water
1000225,Cover your mouth and nose when coughing or sneezing
1000225,Avoid close contact with anyone who has a fever and cough
1000275,Wash your hands regularly using alcohol or soap and water
1000275,Cover your mouth and nose when coughing or sneezing
1000275,Avoid close contact with anyone who has a fever and cough
1000119,Wash your hands regularly using alcohol or soap and water
1000119,Cover your mouth and nose when coughing or sneezing
1000119,Avoid close contact with anyone who has a fever and cough
1000128,Wash your hands regularly using alcohol or soap and water
1000128,Drink only treated water
1000128,Cover your mouth and nose when coughing or sneezing
1000128,Avoid close contact with anyone who has a fever and cough
1000128,Cook meat and eggs well
1000128,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000141,Wash your hands regularly using alcohol or soap and water
1000141,Cover your mouth and nose when coughing or sneezing
1000141,Avoid close contact with anyone who has a fever and cough
1000141,Cook meat and eggs well
1000141,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000185,Wash your hands regularly using alcohol or soap and water
1000185,Drink only treated water
1000185,Cover your mouth and nose when coughing or sneezing
1000185,Avoid close contact with anyone who has a fever and cough
1000185,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000122,Wash your hands regularly using alcohol or soap and water
1000122,Cover your mouth and nose when coughing or sneezing
1000122,Avoid close contact with anyone who has a fever and cough
1000122,Cook meat and eggs well
1000167,Wash your hands regularly using alcohol or soap and water
1000167,Cover your mouth and nose when coughing or sneezing
1000167,Avoid close contact with anyone who has a fever and cough
1000167,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000117,Wash your hands regularly using alcohol or soap and water
1000117,Cover your mouth and nose when coughing or sneezing
1000117,Avoid close contact with anyone who has a fever and cough
1000117,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000111,Wash your hands regularly using alcohol or soap and water
1000111,Cover your mouth and nose when coughing or sneezing
1000111,Avoid close contact with anyone who has a fever and cough
1000111,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000290,Wash your hands regularly using alcohol or soap and water
1000290,Cover your mouth and nose when coughing or sneezing
1000290,Avoid close contact with anyone who has a fever and cough
1000290,Cook meat and eggs well
1000290,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000131,Avoid close contact with anyone who has a fever and cough
1000131,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000226,Wash your hands regularly using alcohol or soap and water
1000226,Cover your mouth and nose when coughing or sneezing
1000226,Avoid close contact with anyone who has a fever and cough
1000226,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000226,Wear nose masks
1000289,Wash your hands regularly using alcohol or soap and water
1000289,Cover your mouth and nose when coughing or sneezing
1000204,Wash your hands regularly using alcohol or soap and water
1000204,Cover your mouth and nose when coughing or sneezing
1000204,Avoid close contact with anyone who has a fever and cough
1000190,Wash your hands regularly using alcohol or soap and water
1000190,Cover your mouth and nose when coughing or sneezing
1000190,Avoid close contact with anyone who has a fever and cough
1000190,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000214,Drink only treated water
1000214,Cover your mouth and nose when coughing or sneezing
1000214,Avoid close contact with anyone who has a fever and cough
1000199,Wash your hands regularly using alcohol or soap and water
1000199,Cover your mouth and nose when coughing or sneezing
1000199,Avoid close contact with anyone who has a fever and cough
1000155,Wash your hands regularly using alcohol or soap and water
1000155,Cover your mouth and nose when coughing or sneezing
1000155,Avoid close contact with anyone who has a fever and cough
1000155,Cook meat and eggs well
1000155,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000135,Wash your hands regularly using alcohol or soap and water
1000135,Cover your mouth and nose when coughing or sneezing
1000135,Avoid close contact with anyone who has a fever and cough
1000177,Wash your hands regularly using alcohol or soap and water
1000177,Cover your mouth and nose when coughing or sneezing
1000177,Avoid close contact with anyone who has a fever and cough
1000177,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000116,Wash your hands regularly using alcohol or soap and water
1000116,Drink only treated water
1000116,Cover your mouth and nose when coughing or sneezing
1000116,Avoid close contact with anyone who has a fever and cough
1000116,Cook meat and eggs well
1000116,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000206,Wash your hands regularly using alcohol or soap and water
1000206,Cover your mouth and nose when coughing or sneezing
1000206,Avoid close contact with anyone who has a fever and cough
1000206,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000318,Wash your hands regularly using alcohol or soap and water
1000318,Cover your mouth and nose when coughing or sneezing
1000318,Avoid close contact with anyone who has a fever and cough
1000318,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000271,Wash your hands regularly using alcohol or soap and water
1000271,Cover your mouth and nose when coughing or sneezing
1000271,Avoid close contact with anyone who has a fever and cough
1000295,Wash your hands regularly using alcohol or soap and water
1000295,Cover your mouth and nose when coughing or sneezing
1000295,Avoid close contact with anyone who has a fever and cough
1000295,Cook meat and eggs well
1000295,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000158,Wash your hands regularly using alcohol or soap and water
1000158,Drink only treated water
1000158,Cover your mouth and nose when coughing or sneezing
1000158,Avoid close contact with anyone who has a fever and cough
1000158,Cook meat and eggs well
1000158,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000246,Wash your hands regularly using alcohol or soap and water
1000246,Cover your mouth and nose when coughing or sneezing
1000246,Avoid close contact with anyone who has a fever and cough
1000196,Wash your hands regularly using alcohol or soap and water
1000196,Cover your mouth and nose when coughing or sneezing
1000196,Avoid close contact with anyone who has a fever and cough
1000189,Wash your hands regularly using alcohol or soap and water
1000189,Cover your mouth and nose when coughing or sneezing
1000189,Avoid close contact with anyone who has a fever and cough
1000268,Wash your hands regularly using alcohol or soap and water
1000268,Cover your mouth and nose when coughing or sneezing
1000268,Avoid close contact with anyone who has a fever and cough
1000203,Wash your hands regularly using alcohol or soap and water
1000114,Wash your hands regularly using alcohol or soap and water
1000114,Cover your mouth and nose when coughing or sneezing
1000114,Avoid close contact with anyone who has a fever and cough
1000219,Wash your hands regularly using alcohol or soap and water
1000219,Drink only treated water
1000219,Cover your mouth and nose when coughing or sneezing
1000219,Avoid close contact with anyone who has a fever and cough
1000219,Cook meat and eggs well
1000219,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000302,Wash your hands regularly using alcohol or soap and water
1000302,Drink only treated water
1000302,Cover your mouth and nose when coughing or sneezing
1000302,Avoid close contact with anyone who has a fever and cough
1000302,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000260,Wash your hands regularly using alcohol or soap and water
1000260,Cover your mouth and nose when coughing or sneezing
1000260,Avoid close contact with anyone who has a fever and cough
1000260,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000239,Wash your hands regularly using alcohol or soap and water
1000239,Cover your mouth and nose when coughing or sneezing
1000239,Avoid close contact with anyone who has a fever and cough
1000239,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000239,social distance
1000194,Wash your hands regularly using alcohol or soap and water
1000194,Cover your mouth and nose when coughing or sneezing
1000194,Avoid close contact with anyone who has a fever and cough
1000198,Wash your hands regularly using alcohol or soap and water
1000198,Cover your mouth and nose when coughing or sneezing
1000198,Avoid close contact with anyone who has a fever and cough
1000198,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000162,Wash your hands regularly using alcohol or soap and water
1000162,Cover your mouth and nose when coughing or sneezing
1000162,Avoid close contact with anyone who has a fever and cough
1000136,Wash your hands regularly using alcohol or soap and water
1000181,Wash your hands regularly using alcohol or soap and water
1000181,Cover your mouth and nose when coughing or sneezing
1000181,Avoid close contact with anyone who has a fever and cough
1000181,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000210,Wash your hands regularly using alcohol or soap and water
1000210,Avoid close contact with anyone who has a fever and cough
1000139,Wash your hands regularly using alcohol or soap and water
1000139,Cover your mouth and nose when coughing or sneezing
1000139,Avoid close contact with anyone who has a fever and cough
1000139,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000133,Wash your hands regularly using alcohol or soap and water
1000133,Avoid close contact with anyone who has a fever and cough
1000133,Cook meat and eggs well
1000243,Wash your hands regularly using alcohol or soap and water
1000243,Cover your mouth and nose when coughing or sneezing
1000243,Avoid close contact with anyone who has a fever and cough
1000169,Wash your hands regularly using alcohol or soap and water
1000169,Cover your mouth and nose when coughing or sneezing
1000169,Avoid close contact with anyone who has a fever and cough
1000169,Cook meat and eggs well
1000169,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000182,Wash your hands regularly using alcohol or soap and water
1000182,Cover your mouth and nose when coughing or sneezing
1000182,Avoid close contact with anyone who has a fever and cough
1000170,Wash your hands regularly using alcohol or soap and water
1000170,Cover your mouth and nose when coughing or sneezing
1000170,Avoid close contact with anyone who has a fever and cough
1000170,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000101,Wash your hands regularly using alcohol or soap and water
1000101,Cover your mouth and nose when coughing or sneezing
1000101,Avoid close contact with anyone who has a fever and cough
1000101,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000267,Wash your hands regularly using alcohol or soap and water
1000267,Drink only treated water
1000267,Cover your mouth and nose when coughing or sneezing
1000267,Avoid close contact with anyone who has a fever and cough
1000134,Wash your hands regularly using alcohol or soap and water
1000134,Drink only treated water
1000134,Cover your mouth and nose when coughing or sneezing
1000134,Avoid close contact with anyone who has a fever and cough
1000134,Eliminate standing water
1000134,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000221,Wash your hands regularly using alcohol or soap and water
1000221,Cover your mouth and nose when coughing or sneezing
1000221,Avoid close contact with anyone who has a fever and cough
1000221,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000148,Wash your hands regularly using alcohol or soap and water
1000148,Cover your mouth and nose when coughing or sneezing
1000148,Avoid close contact with anyone who has a fever and cough
1000148,Cook meat and eggs well
1000148,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000252,Wash your hands regularly using alcohol or soap and water
1000274,Wash your hands regularly using alcohol or soap and water
1000274,Cover your mouth and nose when coughing or sneezing
1000274,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000144,Wash your hands regularly using alcohol or soap and water
1000144,Cover your mouth and nose when coughing or sneezing
1000144,Avoid close contact with anyone who has a fever and cough
1000220,Wash your hands regularly using alcohol or soap and water
1000220,Cover your mouth and nose when coughing or sneezing
1000220,Avoid close contact with anyone who has a fever and cough
1000220,Cook meat and eggs well
1000220,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000192,Wash your hands regularly using alcohol or soap and water
1000192,Cover your mouth and nose when coughing or sneezing
1000192,Avoid close contact with anyone who has a fever and cough
1000192,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000253,Wash your hands regularly using alcohol or soap and water
1000253,Cover your mouth and nose when coughing or sneezing
1000253,Avoid close contact with anyone who has a fever and cough
1000253,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000215,Wash your hands regularly using alcohol or soap and water
1000215,Cover your mouth and nose when coughing or sneezing
1000215,Avoid close contact with anyone who has a fever and cough
1000215,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000157,Wash your hands regularly using alcohol or soap and water
1000157,Cover your mouth and nose when coughing or sneezing
1000157,Avoid close contact with anyone who has a fever and cough
1000113,Wash your hands regularly using alcohol or soap and water
1000113,Cover your mouth and nose when coughing or sneezing
1000113,Avoid close contact with anyone who has a fever and cough
1000113,Cook meat and eggs well
1000113,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000140,Wash your hands regularly using alcohol or soap and water
1000140,Drink only treated water
1000140,Cover your mouth and nose when coughing or sneezing
1000140,Avoid close contact with anyone who has a fever and cough
1000140,Cook meat and eggs well
1000140,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000211,Wash your hands regularly using alcohol or soap and water
1000211,Cover your mouth and nose when coughing or sneezing
1000211,Avoid close contact with anyone who has a fever and cough
1000211,Eliminate standing water
1000211,Cook meat and eggs well
1000211,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000197,Wash your hands regularly using alcohol or soap and water
1000197,Cover your mouth and nose when coughing or sneezing
1000197,Avoid close contact with anyone who has a fever and cough
1000197,Cook meat and eggs well
1000313,Wash your hands regularly using alcohol or soap and water
1000313,Cover your mouth and nose when coughing or sneezing
1000313,Avoid close contact with anyone who has a fever and cough
1000313,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000266,Cover your mouth and nose when coughing or sneezing
1000266,Avoid close contact with anyone who has a fever and cough
1000108,Wash your hands regularly using alcohol or soap and water
1000108,Cover your mouth and nose when coughing or sneezing
1000108,Avoid close contact with anyone who has a fever and cough
1000108,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000164,Wash your hands regularly using alcohol or soap and water
1000164,Cover your mouth and nose when coughing or sneezing
1000164,Avoid close contact with anyone who has a fever and cough
1000110,Wash your hands regularly using alcohol or soap and water
1000110,Cover your mouth and nose when coughing or sneezing
1000110,Avoid close contact with anyone who has a fever and cough
1000103,Wash your hands regularly using alcohol or soap and water
1000103,Cover your mouth and nose when coughing or sneezing
1000103,Avoid close contact with anyone who has a fever and cough
1000256,Wash your hands regularly using alcohol or soap and water
1000256,Cover your mouth and nose when coughing or sneezing
1000256,Avoid close contact with anyone who has a fever and cough
1000264,Wash your hands regularly using alcohol or soap and water
1000264,Cover your mouth and nose when coughing or sneezing
1000264,Avoid close contact with anyone who has a fever and cough
1000264,Cook meat and eggs well
1000264,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000193,Wash your hands regularly using alcohol or soap and water
1000193,Cover your mouth and nose when coughing or sneezing
1000193,Avoid close contact with anyone who has a fever and cough
1000244,Wash your hands regularly using alcohol or soap and water
1000244,Cover your mouth and nose when coughing or sneezing
1000244,Avoid close contact with anyone who has a fever and cough
1000244,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000283,Wash your hands regularly using alcohol or soap and water
1000283,Cover your mouth and nose when coughing or sneezing
1000283,Avoid close contact with anyone who has a fever and cough
1000283,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000159,Wash your hands regularly using alcohol or soap and water
1000159,Cover your mouth and nose when coughing or sneezing
1000159,Avoid close contact with anyone who has a fever and cough
1000159,Cook meat and eggs well
1000262,Wash your hands regularly using alcohol or soap and water
1000262,Cover your mouth and nose when coughing or sneezing
1000262,Avoid close contact with anyone who has a fever and cough
1000262,Cook meat and eggs well
1000262,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000126,Wash your hands regularly using alcohol or soap and water
1000126,Cover your mouth and nose when coughing or sneezing
1000126,Avoid close contact with anyone who has a fever and cough
1000254,Wash your hands regularly using alcohol or soap and water
1000254,Cover your mouth and nose when coughing or sneezing
1000254,Avoid close contact with anyone who has a fever and cough
1000254,Cook meat and eggs well
1000152,Wash your hands regularly using alcohol or soap and water
1000152,Cover your mouth and nose when coughing or sneezing
1000238,Wash your hands regularly using alcohol or soap and water
1000238,Cover your mouth and nose when coughing or sneezing
1000238,Avoid close contact with anyone who has a fever and cough
1000238,Cook meat and eggs well
1000277,Wash your hands regularly using alcohol or soap and water
1000277,Cover your mouth and nose when coughing or sneezing
1000277,Avoid close contact with anyone who has a fever and cough
1000277,Cook meat and eggs well
1000277,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000106,Wash your hands regularly using alcohol or soap and water
1000106,Drink only treated water
1000106,Cover your mouth and nose when coughing or sneezing
1000106,Avoid close contact with anyone who has a fever and cough
1000106,Eliminate standing water
1000106,Cook meat and eggs well
1000106,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000130,Wash your hands regularly using alcohol or soap and water
1000130,Cover your mouth and nose when coughing or sneezing
1000130,Avoid close contact with anyone who has a fever and cough
1000130,Cook meat and eggs well
1000224,Wash your hands regularly using alcohol or soap and water
1000224,Drink only treated water
1000224,Cover your mouth and nose when coughing or sneezing
1000224,Avoid close contact with anyone who has a fever and cough
1000143,Wash your hands regularly using alcohol or soap and water
1000143,Cover your mouth and nose when coughing or sneezing
1000143,Avoid close contact with anyone who has a fever and cough
1000143,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000161,Cover your mouth and nose when coughing or sneezing
1000161,Avoid close contact with anyone who has a fever and cough
1000161,Social distancing and washing your hands at least 20 seconds with soap under running water and also sanitizeing your hands
1000137,Wash your hands regularly using alcohol or soap and water
1000137,Drink only treated water
1000137,Cover your mouth and nose when coughing or sneezing
1000137,Avoid close contact with anyone who has a fever and cough
1000137,Cook meat and eggs well
1000201,Wash your hands regularly using alcohol or soap and water
1000201,Drink only treated water
1000201,Cover your mouth and nose when coughing or sneezing
1000201,Avoid close contact with anyone who has a fever and cough
1000201,Eliminate standing water
1000300,Wash your hands regularly using alcohol or soap and water
1000300,Cover your mouth and nose when coughing or sneezing
1000300,Avoid close contact with anyone who has a fever and cough
1000317,Wash your hands regularly using alcohol or soap and water
1000317,Cover your mouth and nose when coughing or sneezing
1000317,Avoid close contact with anyone who has a fever and cough
1000314,Wash your hands regularly using alcohol or soap and water
1000314,Cover your mouth and nose when coughing or sneezing
1000314,Avoid close contact with anyone who has a fever and cough
1000314,Cook meat and eggs well
1000314,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000235,Wash your hands regularly using alcohol or soap and water
1000235,Cover your mouth and nose when coughing or sneezing
1000235,Avoid close contact with anyone who has a fever and cough
