id,Prevention_Steps
1000205,Washing hands regularly using alcohol-based cleaner or soap / water
1000205,Covering mouth and nose when coughing or sneezing
1000205,Avoid close contact with anyone who has a fever and cough
1000205,Eliminate standing water
1000205,Cook meat and eggs well
1000205,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000205,Don't know
1000176,Washing hands regularly using alcohol-based cleaner or soap / water
1000176,Covering mouth and nose when coughing or sneezing
1000176,Avoid close contact with anyone who has a fever and cough
1000301,Washing hands regularly using alcohol-based cleaner or soap / water
1000301,Covering mouth and nose when coughing or sneezing
1000301,Avoid close contact with anyone who has a fever and cough
1000301,Staying in doors going out only when its neccessary
1000315,Washing hands regularly using alcohol-based cleaner or soap / water
1000315,Covering mouth and nose when coughing or sneezing
1000315,Avoid close contact with anyone who has a fever and cough
1000187,Washing hands regularly using alcohol-based cleaner or soap / water
1000187,Covering mouth and nose when coughing or sneezing
1000187,Avoid close contact with anyone who has a fever and cough
1000171,Washing hands regularly using alcohol-based cleaner or soap / water
1000171,Covering mouth and nose when coughing or sneezing
1000171,Avoid close contact with anyone who has a fever and cough
1000212,Washing hands regularly using alcohol-based cleaner or soap / water
1000212,Covering mouth and nose when coughing or sneezing
1000212,Avoid close contact with anyone who has a fever and cough
1000212,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000217,Washing hands regularly using alcohol-based cleaner or soap / water
1000217,Covering mouth and nose when coughing or sneezing
1000217,Avoid close contact with anyone who has a fever and cough
1000217,Cook meat and eggs well
1000217,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000237,Washing hands regularly using alcohol-based cleaner or soap / water
1000237,Covering mouth and nose when coughing or sneezing
1000237,Avoid close contact with anyone who has a fever and cough
1000237,Cook meat and eggs well
1000121,Washing hands regularly using alcohol-based cleaner or soap / water
1000121,Covering mouth and nose when coughing or sneezing
1000121,Avoid close contact with anyone who has a fever and cough
1000121,Cook meat and eggs well
1000121,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000285,Washing hands regularly using alcohol-based cleaner or soap / water
1000285,Covering mouth and nose when coughing or sneezing
1000285,Avoid close contact with anyone who has a fever and cough
1000233,Washing hands regularly using alcohol-based cleaner or soap / water
1000233,Covering mouth and nose when coughing or sneezing
1000233,Avoid close contact with anyone who has a fever and cough
1000261,Washing hands regularly using alcohol-based cleaner or soap / water
1000261,Covering mouth and nose when coughing or sneezing
1000261,Avoid close contact with anyone who has a fever and cough
1000104,Washing hands regularly using alcohol-based cleaner or soap / water
1000104,Covering mouth and nose when coughing or sneezing
1000104,Avoid close contact with anyone who has a fever and cough
1000104,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000147,Washing hands regularly using alcohol-based cleaner or soap / water
1000147,Covering mouth and nose when coughing or sneezing
1000147,Avoid close contact with anyone who has a fever and cough
1000147,Cook meat and eggs well
1000147,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000147,"Using sanitizers, avoid social gathering, using nose mask and staying at home."
1000174,Washing hands regularly using alcohol-based cleaner or soap / water
1000174,Covering mouth and nose when coughing or sneezing
1000174,Avoid close contact with anyone who has a fever and cough
1000225,Washing hands regularly using alcohol-based cleaner or soap / water
1000225,Covering mouth and nose when coughing or sneezing
1000275,Washing hands regularly using alcohol-based cleaner or soap / water
1000275,Covering mouth and nose when coughing or sneezing
1000275,Avoid close contact with anyone who has a fever and cough
1000119,Washing hands regularly using alcohol-based cleaner or soap / water
1000119,Covering mouth and nose when coughing or sneezing
1000119,Avoid close contact with anyone who has a fever and cough
1000128,Washing hands regularly using alcohol-based cleaner or soap / water
1000128,Covering mouth and nose when coughing or sneezing
1000128,Avoid close contact with anyone who has a fever and cough
1000128,Cook meat and eggs well
1000128,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000141,Washing hands regularly using alcohol-based cleaner or soap / water
1000141,Covering mouth and nose when coughing or sneezing
1000141,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000185,Washing hands regularly using alcohol-based cleaner or soap / water
1000185,Covering mouth and nose when coughing or sneezing
1000185,Avoid close contact with anyone who has a fever and cough
1000122,Washing hands regularly using alcohol-based cleaner or soap / water
1000122,Covering mouth and nose when coughing or sneezing
1000122,Avoid close contact with anyone who has a fever and cough
1000167,Washing hands regularly using alcohol-based cleaner or soap / water
1000167,Covering mouth and nose when coughing or sneezing
1000167,Avoid close contact with anyone who has a fever and cough
1000167,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000117,Washing hands regularly using alcohol-based cleaner or soap / water
1000117,Covering mouth and nose when coughing or sneezing
1000117,Avoid close contact with anyone who has a fever and cough
1000111,Washing hands regularly using alcohol-based cleaner or soap / water
1000111,Covering mouth and nose when coughing or sneezing
1000111,Avoid close contact with anyone who has a fever and cough
1000111,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000290,Washing hands regularly using alcohol-based cleaner or soap / water
1000290,Avoid close contact with anyone who has a fever and cough
1000290,Cook meat and eggs well
1000290,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000131,Washing hands regularly using alcohol-based cleaner or soap / water
1000131,Covering mouth and nose when coughing or sneezing
1000131,Avoid close contact with anyone who has a fever and cough
1000226,Washing hands regularly using alcohol-based cleaner or soap / water
1000226,Covering mouth and nose when coughing or sneezing
1000226,Avoid close contact with anyone who has a fever and cough
1000226,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000226,Wiping and cleaning surfaces regularly with disinfectants
1000289,Washing hands regularly using alcohol-based cleaner or soap / water
1000289,Covering mouth and nose when coughing or sneezing
1000204,Washing hands regularly using alcohol-based cleaner or soap / water
1000204,Covering mouth and nose when coughing or sneezing
1000204,Avoid close contact with anyone who has a fever and cough
1000190,Washing hands regularly using alcohol-based cleaner or soap / water
1000190,Covering mouth and nose when coughing or sneezing
1000190,Avoid close contact with anyone who has a fever and cough
1000190,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000214,Washing hands regularly using alcohol-based cleaner or soap / water
