id,Trust_Channel
1000205,TV
1000176,Radio
1000301,Health unit/Health care worker
1000301,Community health workers
1000301,Red Cross Red Crescent volunteers
1000301,Religious leaders
1000315,TV
1000187,Radio
1000187,TV
1000171,Radio
1000171,TV
1000171,Social Media (not WhatsApp)
1000171,Community health workers
1000212,Radio
1000212,TV
1000212,WhatsApp
1000212,Social Media (not WhatsApp)
1000212,Family members
1000212,Community leaders
1000212,Religious leaders
1000217,Radio
1000237,Radio
1000237,TV
1000237,Health unit/Health care worker
1000121,Radio
1000121,TV
1000121,Health unit/Health care worker
1000121,Community health workers
1000121,Red Cross Red Crescent volunteers
1000285,Health unit/Health care worker
1000233,TV
1000261,Radio
1000261,Health unit/Health care worker
1000104,TV
1000104,Health unit/Health care worker
1000104,Community health workers
1000104,Red Cross Red Crescent volunteers
1000104,Community leaders
1000147,Radio
1000147,TV
1000147,Health unit/Health care worker
1000147,Family members
1000147,Friends
1000147,Community health workers
1000147,Red Cross Red Crescent volunteers
1000147,Community leaders
1000147,Religious leaders
1000147,Traditional midwives
1000147,Any person from the community
1000174,TV
1000225,Radio
1000225,TV
1000275,Radio
1000275,TV
1000275,Social Media (not WhatsApp)
1000275,Health unit/Health care worker
1000119,TV
1000128,TV
1000128,Religious leaders
1000141,Radio
1000141,TV
1000141,Health unit/Health care worker
1000185,Radio
1000185,TV
1000185,Social Media (not WhatsApp)
1000185,Friends
1000185,Community health workers
1000185,Other community mobilisers
1000122,Radio
1000122,TV
1000122,Health unit/Health care worker
1000167,Radio
1000167,TV
1000167,Social Media (not WhatsApp)
1000117,Radio
1000117,TV
1000111,Health unit/Health care worker
1000111,Community health workers
1000111,Red Cross Red Crescent volunteers
1000290,Radio
1000290,TV
1000131,TV
1000226,TV
1000226,Health unit/Health care worker
1000289,Radio
1000289,TV
1000289,Social Media (not WhatsApp)
1000204,Radio
1000204,WhatsApp
1000204,Social Media (not WhatsApp)
1000204,Health unit/Health care worker
1000190,TV
1000190,Social Media (not WhatsApp)
1000214,Radio
1000214,TV
1000214,WhatsApp
1000199,Health unit/Health care worker
1000199,Community health workers
1000155,Radio
1000155,TV
1000155,WhatsApp
1000155,Social Media (not WhatsApp)
1000155,Health unit/Health care worker
1000135,Radio
1000135,TV
1000135,WhatsApp
1000135,Family members
1000135,Friends
1000135,Religious leaders
1000177,Radio
1000177,TV
1000177,Health unit/Health care worker
1000177,Community health workers
1000177,Religious leaders
1000116,Radio
1000116,TV
1000116,WhatsApp
1000116,Health unit/Health care worker
1000116,Family members
1000116,Friends
1000116,Any person from the community
1000206,Radio
1000206,TV
1000318,Radio
1000318,TV
1000318,WhatsApp
1000318,Social Media (not WhatsApp)
1000318,Health unit/Health care worker
1000318,Family members
1000318,Friends
1000318,Community health workers
1000318,Red Cross Red Crescent volunteers
1000271,Radio
1000295,Radio
1000295,TV
1000295,Health unit/Health care worker
1000295,Community health workers
1000158,TV
1000158,WhatsApp
1000158,Social Media (not WhatsApp)
1000246,Radio
1000246,TV
1000246,Social Media (not WhatsApp)
1000246,Health unit/Health care worker
1000196,Radio
1000196,TV
1000196,WhatsApp
1000196,Social Media (not WhatsApp)
1000196,Health unit/Health care worker
1000196,Family members
1000196,Friends
1000189,TV
1000189,WhatsApp
1000189,Social Media (not WhatsApp)
1000189,Health unit/Health care worker
1000189,Family members
1000189,Friends
1000189,Community health workers
1000189,Community leaders
1000189,Religious leaders
1000268,Family members
1000203,Radio
1000203,TV
1000203,Social Media (not WhatsApp)
1000203,Health unit/Health care worker
1000114,Health unit/Health care worker
1000219,TV
1000302,Radio
1000302,TV
1000302,Health unit/Health care worker
1000302,Community health workers
1000302,Religious leaders
1000260,Radio
1000260,TV
1000260,WhatsApp
1000260,Social Media (not WhatsApp)
1000260,Health unit/Health care worker
1000239,Radio
1000239,TV
1000239,WhatsApp
1000239,Social Media (not WhatsApp)
1000239,Health unit/Health care worker
1000239,Family members
1000239,Friends
1000239,Community health workers
1000239,Red Cross Red Crescent volunteers
1000239,Other community mobilisers
1000239,Community leaders
1000239,Religious leaders
1000239,Traditional healers
1000239,Traditional midwives
1000239,Any person from the community
1000194,TV
1000194,Social Media (not WhatsApp)
1000198,Radio
1000198,TV
1000198,Community health workers
1000198,Any person from the community
1000162,Radio
1000162,TV
1000162,WhatsApp
1000136,Radio
1000136,TV
1000181,Radio
1000181,TV
1000181,Social Media (not WhatsApp)
1000181,Health unit/Health care worker
1000181,Family members
1000181,Friends
1000181,Community health workers
1000210,TV
1000139,Health unit/Health care worker
1000139,Community health workers
1000139,Red Cross Red Crescent volunteers
1000133,TV
1000133,WhatsApp
1000133,Social Media (not WhatsApp)
1000243,Radio
1000243,TV
1000243,Social Media (not WhatsApp)
1000243,Health unit/Health care worker
1000243,Community health workers
1000169,TV
1000182,TV
1000182,Health unit/Health care worker
1000182,Community health workers
1000170,Radio
1000170,TV
1000101,Health unit/Health care worker
1000267,TV
1000134,TV
1000134,WhatsApp
1000134,Social Media (not WhatsApp)
1000221,TV
1000221,Health unit/Health care worker
1000148,Radio
1000148,TV
1000148,WhatsApp
1000148,Health unit/Health care worker
1000148,Community health workers
1000252,Radio
1000252,TV
1000252,WhatsApp
1000252,Social Media (not WhatsApp)
1000252,Community health workers
1000274,Social Media (not WhatsApp)
1000274,Health unit/Health care worker
1000274,Family members
1000274,Friends
1000144,Health unit/Health care worker
1000220,Radio
1000220,TV
1000220,Social Media (not WhatsApp)
1000220,Family members
1000220,Friends
1000192,Radio
1000192,TV
1000192,WhatsApp
1000192,Social Media (not WhatsApp)
1000192,Friends
1000192,Religious leaders
1000253,TV
1000215,TV
1000215,WhatsApp
1000215,Social Media (not WhatsApp)
1000157,Radio
1000157,TV
1000157,WhatsApp
1000157,Religious leaders
1000113,TV
1000113,Health unit/Health care worker
1000140,Radio
1000140,TV
1000140,WhatsApp
1000140,Social Media (not WhatsApp)
1000140,Family members
1000140,Friends
1000211,Radio
1000211,TV
1000211,Health unit/Health care worker
1000211,Community health workers
1000197,Radio
1000197,TV
1000197,Health unit/Health care worker
1000197,Family members
1000197,Friends
1000197,Community leaders
1000197,Religious leaders
1000313,Radio
1000313,TV
1000313,Health unit/Health care worker
1000266,Radio
1000266,TV
1000266,WhatsApp
1000266,Social Media (not WhatsApp)
1000266,Health unit/Health care worker
1000108,Community health workers
1000164,TV
1000164,Social Media (not WhatsApp)
1000110,TV
1000103,Radio
1000256,TV
1000264,TV
